Memory,Storage,CPU_class,Screen_size,year,price
8,1024,3,16,2025,162021
32,1024,0,16,2024,112214
16,512,1,16,2025,118354
16,1024,1,16,2025,123383
16,256,3,16,2024,162968
32,1024,0,15.6,2024,106427
8,1024,1,15.6,2025,114523
32,512,0,15.6,2024,107497
8,1024,3,15.6,2025,165259
8,512,2,16,2025,133889
16,256,1,15.6,2025,110701
32,1024,1,15.6,2024,136358
32,256,0,14,2024,94956
32,256,3,16,2025,180524
32,512,2,15.6,2025,156862
32,1024,1,15.6,2025,140693
16,512,1,15.6,2025,111167
8,512,2,14,2025,126814
32,256,2,15.6,2025,156389
16,256,1,16,2024,108471
16,256,1,15.6,2025,108306
16,256,2,14,2025,135507
8,1024,2,15.6,2024,135945
32,1024,2,14,2025,163009
32,1024,0,15.6,2025,114298
16,256,1,15.6,2025,108208
16,256,2,14,2025,138307
32,256,3,16,2025,186970
16,512,2,14,2024,139633
16,512,1,16,2025,115800
16,512,2,16,2024,141711
8,256,0,14,2024,72114
8,1024,0,15.6,2025,85524
16,256,2,14,2025,131132
32,256,3,14,2025,183665
8,1024,3,16,2025,166435
32,1024,2,16,2024,167002
32,256,0,14,2024,97018
8,512,3,14,2025,152099
16,1024,1,14,2025,117078
8,1024,1,15.6,2025,111058
32,1024,3,14,2024,187496
32,512,2,14,2024,153718
16,512,2,15.6,2025,138999
8,1024,1,14,2025,108220
32,256,3,16,2025,182752
16,256,1,16,2025,115509
32,512,2,16,2025,157133
32,1024,3,14,2025,187557
32,256,2,16,2025,155102
32,512,0,16,2025,106096
8,512,1,14,2025,101994
16,512,1,16,2024,114900
16,1024,3,15.6,2024,176600
16,256,2,16,2025,137032
8,1024,1,15.6,2025,112542
16,512,2,16,2024,136950
8,1024,2,14,2024,132099
32,512,1,15.6,2025,131710
32,256,1,14,2024,121248
32,1024,3,14,2025,189941
32,1024,2,14,2025,163426
16,256,0,15.6,2024,84974
32,1024,2,14,2024,161133
16,1024,2,16,2024,147582
8,512,2,15.6,2025,131169
32,1024,2,16,2024,161080
16,512,3,16,2025,165550
8,512,1,14,2024,102240
16,256,1,14,2025,111964
32,1024,0,15.6,2025,107126
8,256,2,15.6,2024,128461
16,1024,1,14,2024,118008
8,512,1,16,2024,107364
32,512,2,15.6,2025,159362
16,256,1,16,2025,112709
8,1024,1,14,2024,108574
8,256,1,16,2024,104622
16,512,1,14,2025,107978
32,1024,0,15.6,2024,113409
32,1024,3,15.6,2024,187208
16,1024,0,16,2025,96440
8,1024,1,14,2024,103614
32,512,2,14,2024,152557
16,256,0,15.6,2024,79031
32,1024,2,15.6,2024,163562
8,1024,2,14,2025,133675
8,1024,2,14,2024,131328
32,512,1,14,2024,127609
32,256,0,15.6,2024,100219
16,512,3,15.6,2024,169141
32,512,1,15.6,2025,135145
32,1024,3,16,2025,193971
16,512,0,14,2025,80995
32,256,0,16,2024,100113
8,256,3,16,2024,159057
8,1024,3,14,2024,157710
32,1024,3,14,2025,188255
16,256,3,14,2024,164540
8,512,0,14,2025,78605
32,512,3,15.6,2025,185290
8,512,2,14,2024,129339
32,1024,0,14,2025,107654
8,256,0,15.6,2025,77028
32,256,3,16,2025,180003
32,256,1,14,2025,123153
32,256,3,16,2025,184664
16,1024,0,15.6,2024,89860
16,1024,1,16,2024,121078
32,256,1,14,2025,124810
8,512,1,15.6,2025,108093
32,256,2,16,2025,159304
16,256,3,14,2025,161943
16,256,3,16,2024,166933
16,256,2,15.6,2025,136169
16,512,0,15.6,2025,86954
8,1024,3,15.6,2025,162580
8,512,2,15.6,2025,134887
8,1024,2,14,2025,137585
8,512,2,16,2025,135967
16,256,3,15.6,2024,167020
32,256,3,16,2024,186427
16,256,2,15.6,2024,134827
16,256,2,15.6,2025,141455
32,1024,2,15.6,2024,164570
16,1024,1,16,2024,119130
8,1024,1,16,2025,112233
32,512,2,16,2025,158491
16,512,0,15.6,2024,84308
16,512,1,16,2025,112681
16,512,2,15.6,2025,137659
16,1024,3,15.6,2024,172973
8,1024,2,16,2024,140852
16,1024,1,14,2024,117041
32,512,1,16,2024,131918
8,256,2,14,2024,124429
16,1024,2,15.6,2024,145715
8,512,0,15.6,2025,75674
16,1024,2,15.6,2024,148583
16,512,1,15.6,2024,110587
32,1024,2,15.6,2024,165733
8,512,3,15.6,2024,160080
8,1024,3,15.6,2025,165599
16,1024,2,15.6,2025,149903
32,256,1,16,2025,128078
32,512,1,15.6,2025,135053
8,512,0,15.6,2025,79835
8,1024,3,16,2024,167140
32,1024,3,16,2024,193067
8,1024,3,14,2025,164771
32,512,1,16,2025,136695
8,512,1,14,2024,100361
32,512,3,14,2024,184511
8,1024,2,16,2024,139707
16,256,2,14,2025,134623
16,512,1,16,2025,118166
8,256,1,16,2024,100905
16,1024,2,16,2025,148274
16,512,3,16,2025,165598
32,512,1,16,2025,130556
32,512,3,14,2025,185726
16,512,0,16,2025,86922
16,1024,1,14,2024,115153
16,512,3,14,2025,162968
16,512,3,14,2024,163933
32,256,3,15.6,2024,184447
8,256,1,16,2025,105911
8,512,3,14,2025,152561
16,1024,3,16,2024,174349
8,1024,3,15.6,2024,163738
8,512,0,15.6,2025,78914
8,512,2,16,2025,132328
32,512,3,15.6,2024,184189
32,256,3,15.6,2025,182775
32,256,0,16,2025,103406
